deposit_date,eft_trace,amount
2025-10-11,EFT-SELF-202541-40,0.0
2025-10-26,EFT-COMM1-202543-56,779.32
2025-10-19,EFT-MCR-202542-61,422.78
2025-10-19,EFT-MCD-202542-88,213.5
2025-10-18,EFT-SELF-202542-82,0.0
2025-11-02,EFT-MCR-202544-65,797.84
2025-10-26,EFT-SELF-202543-70,0.0
2025-11-02,EFT-COMM2-202544-24,665.46
2025-10-25,EFT-COMM2-202543-54,337.87
2025-11-23,EFT-MCR-202547-65,683.67
2025-11-23,EFT-MCD-202547-95,241.71
2025-11-08,EFT-MCR-202545-54,507.9
2025-10-31,EFT-MCD-202544-49,157.12
2025-11-29,EFT-MCD-202548-29,271.18
2025-11-01,EFT-SELF-202544-23,0.0
2025-11-07,EFT-COMM1-202545-16,398.27
2025-11-21,EFT-COMM1-202547-55,804.43
2025-11-15,EFT-MCD-202546-35,115.76
2025-11-30,EFT-COMM2-202548-21,502.87
2025-10-24,EFT-MCD-202543-14,78.73
2025-11-09,EFT-SELF-202545-64,0.0
2025-11-27,EFT-SELF-202548-90,0.0
2025-11-14,EFT-COMM2-202546-71,296.2
2025-11-22,EFT-SELF-202547-83,0.0
2025-11-02,EFT-COMM1-202544-52,559.16
2025-12-07,EFT-MCR-202549-54,335.61
2025-11-29,EFT-MCR-202548-96,456.69
2025-11-04,EFT-COMM2-202545-62,124.94
2025-11-16,EFT-COMM1-202546-23,809.44
2025-11-30,EFT-COMM1-202548-22,1027.93
2025-11-22,EFT-COMM2-202547-76,498.17
2025-11-16,EFT-SELF-202546-49,0.0
2025-11-16,EFT-MCR-202546-65,766.71
2025-12-28,EFT-MCD-202552-43,357.65
2025-12-21,EFT-COMM2-202551-48,181.51
2025-12-28,EFT-MCR-202552-81,492.98
2025-12-26,EFT-COMM2-202552-44,67.31
2026-01-04,EFT-COMM2-202601-55,569.63
2025-11-07,EFT-MCD-202545-33,107.72
2025-12-09,EFT-COMM2-202550-70,260.07
2025-12-12,EFT-MCR-202550-45,557.73
2025-12-21,EFT-MCD-202551-77,263.26
2025-12-05,EFT-COMM2-202549-66,665.48
2025-12-28,EFT-COMM1-202552-28,1389.53
2025-12-11,EFT-SELF-202550-24,0.0
2025-12-21,EFT-MCR-202551-25,1010.28
2025-12-20,EFT-SELF-202551-74,0.0
2025-12-07,EFT-COMM1-202549-68,378.35
2025-12-14,EFT-COMM1-202550-29,551.64
2025-12-20,EFT-COMM1-202551-56,622.79
2025-12-07,EFT-MCD-202549-64,41.68
2026-01-25,EFT-MCR-202604-57,583.32
2026-01-24,EFT-COMM1-202604-69,772.63
2026-01-11,EFT-COMM1-202602-48,1247.29
2026-01-03,EFT-MCR-202601-19,136.31
2026-01-10,EFT-SELF-202602-91,0.0
2025-12-28,EFT-SELF-202552-36,0.0
2026-01-16,EFT-SELF-202603-46,0.0
2026-01-18,EFT-MCR-202603-95,527.55
2026-01-17,EFT-COMM2-202603-67,520.93
2026-01-11,EFT-COMM2-202602-19,423.98
2026-01-10,EFT-MCR-202602-92,758.39
2026-01-18,EFT-MCD-202603-29,152.36
2026-01-31,EFT-MCR-202605-47,970.18
2026-01-30,EFT-COMM2-202605-21,360.91
2026-01-18,EFT-COMM1-202603-51,481.34
2026-01-24,EFT-COMM2-202604-15,567.29
2026-02-01,EFT-MCD-202605-90,219.76
2025-12-12,EFT-MCD-202550-77,39.99
2026-01-03,EFT-SELF-202601-17,0.0
2026-01-04,EFT-COMM1-202601-92,397.62
2026-01-25,EFT-MCD-202604-24,150.42
2026-01-01,EFT-MCD-202601-17,29.77
2026-03-01,EFT-COMM1-202609-69,773.17
2026-02-15,EFT-COMM2-202607-59,924.71
2026-02-08,EFT-COMM2-202606-63,104.5
2026-02-01,EFT-COMM1-202605-13,1105.55
2026-02-05,EFT-COMM1-202606-42,288.8
2026-01-25,EFT-SELF-202604-80,0.0
2026-02-08,EFT-MCD-202606-25,155.5
2026-02-22,EFT-MCR-202608-21,399.86
2026-03-01,EFT-MCR-202609-15,720.13
2026-02-27,EFT-COMM2-202609-35,619.56
2026-02-13,EFT-MCD-202607-11,143.62
2026-02-15,EFT-COMM1-202607-36,863.34
2026-02-08,EFT-MCR-202606-93,1002.71
2026-02-13,EFT-SELF-202607-58,-0.08
2026-02-14,EFT-MCR-202607-48,272.22
2026-02-22,EFT-SELF-202608-14,-0.24
2026-02-07,EFT-SELF-202606-10,0.0
2026-02-18,EFT-COMM2-202608-17,275.82
2026-02-01,EFT-SELF-202605-23,0.0
2026-01-06,EFT-MCD-202602-48,52.89
2026-03-08,EFT-MCR-202610-67,452.07
2026-03-22,EFT-SELF-202612-58,-0.21
2026-03-08,EFT-COMM2-202610-81,418.01
2026-03-15,EFT-MCD-202611-10,260.3
2026-03-01,EFT-MCD-202609-80,244.61
2026-03-29,EFT-SELF-202613-20,-1.03
2026-03-27,EFT-MCR-202613-17,348.44
2026-03-21,EFT-COMM1-202612-92,720.54
2026-03-08,EFT-COMM1-202610-41,1001.41
2026-03-15,EFT-MCR-202611-94,284.68
2026-03-08,EFT-MCD-202610-47,221.8
2026-03-15,EFT-COMM2-202611-73,187.33
2026-03-15,EFT-COMM1-202611-56,893.7
2026-02-22,EFT-COMM1-202608-35,311.27
2026-03-08,EFT-SELF-202610-57,-0.28
2026-03-13,EFT-SELF-202611-73,-0.52
2026-03-21,EFT-COMM2-202612-44,219.56
2026-04-02,EFT-MCD-202614-26,57.72
2026-03-29,EFT-COMM1-202613-28,1115.14
2026-03-22,EFT-MCR-202612-90,372.88
2026-02-20,EFT-MCD-202608-17,50.04
2026-04-05,EFT-COMM1-202614-79,541.98
2026-04-05,EFT-MCR-202614-60,440.28
2026-03-28,EFT-MCD-202613-65,170.58
2026-02-24,EFT-SELF-202609-21,-0.01
2026-03-21,EFT-MCD-202612-90,140.33
2026-04-19,EFT-COMM1-202616-66,517.68
2026-04-24,EFT-COMM1-202617-84,500.14
2026-03-31,EFT-SELF-202614-12,-0.79
2026-04-12,EFT-MCR-202615-76,291.67
2026-03-29,EFT-COMM2-202613-98,336.11
2026-04-19,EFT-COMM2-202616-28,391.32
2026-04-12,EFT-COMM1-202615-67,256.69
2026-04-25,EFT-COMM2-202617-31,513.02
2026-04-10,EFT-COMM2-202615-17,425.33
2026-04-05,EFT-COMM2-202614-88,546.98
2026-04-16,EFT-MCD-202616-36,26.18
2026-04-29,EFT-SELF-202618-18,-0.2
2026-05-03,EFT-COMM1-202618-91,271.65
2026-04-11,EFT-SELF-202615-42,-0.65
2026-04-26,EFT-MCD-202617-94,150.13
2026-04-11,EFT-MCD-202615-50,73.82
2026-04-24,EFT-SELF-202617-13,-0.66
2026-04-30,EFT-MCD-202618-39,45.98
2026-04-18,EFT-MCR-202616-84,160.23
2026-04-25,EFT-MCR-202617-50,136.66
2026-05-09,EFT-COMM1-202619-27,361.94
2026-05-10,EFT-MCR-202619-21,338.67
2026-05-14,EFT-SELF-202620-47,-3.34
2026-05-23,EFT-SELF-202621-64,-1.67
2026-05-27,EFT-MCR-202622-68,36.21
2026-05-08,EFT-COMM2-202619-93,180.39
2026-05-17,EFT-MCR-202620-83,555.13
2026-05-22,EFT-COMM1-202621-78,508.98
2026-05-17,EFT-COMM2-202620-12,400.52
2026-04-19,EFT-SELF-202616-59,-0.09
2026-05-31,EFT-COMM2-202622-37,329.47
2026-05-02,EFT-COMM2-202618-74,204.21
2026-05-01,EFT-MCR-202618-49,122.93
2026-05-07,EFT-SELF-202619-99,-0.09
2026-05-24,EFT-MCR-202621-53,198.06
2026-05-08,EFT-MCD-202619-10,42.12
2026-05-17,EFT-COMM1-202620-24,160.29
2026-05-23,EFT-MCD-202621-70,56.5
2026-05-16,EFT-MCD-202620-70,21.42
2026-05-31,EFT-MCD-202622-41,89.51
2026-06-28,EFT-SELF-202626-54,-0.79
2026-06-13,EFT-COMM1-202624-83,106.4
2026-06-11,EFT-MCD-202624-42,36.16
2026-06-20,EFT-COMM1-202625-27,116.9
2026-06-21,EFT-MCD-202625-43,14.65
2026-06-06,EFT-MCR-202623-19,243.28
2026-06-05,EFT-COMM2-202623-44,175.02
2026-06-20,EFT-MCR-202625-76,127.23
2026-06-27,EFT-MCD-202626-78,30.74
2026-06-06,EFT-COMM1-202623-60,87.13
2026-05-29,EFT-COMM1-202622-30,174.65
2026-06-04,EFT-MCD-202623-32,15.2
2026-05-19,EFT-COMM2-202621-99,27.71
2026-06-23,EFT-COMM2-202626-10,137.47
2026-06-10,EFT-COMM2-202624-70,49.22
2026-06-28,EFT-COMM1-202626-90,110.06
2026-07-01,EFT-COMM1-202627-86,77.22
2026-06-18,EFT-COMM2-202625-43,80.95
2026-06-28,EFT-MCR-202626-41,68.45
2026-06-11,EFT-MCR-202624-64,100.43
2026-07-17,EFT-MCR-202629-15,101.08
2026-07-10,EFT-COMM1-202628-25,54.46
2026-07-17,EFT-SELF-202629-40,-1.0
2026-07-12,EFT-SELF-202628-75,-0.78
2026-07-12,EFT-COMM2-202628-18,98.92
2026-07-16,EFT-MCD-202629-38,2.41
2026-07-05,EFT-SELF-202627-15,-2.62
2026-08-02,EFT-COMM2-202631-25,39.46
2026-07-18,EFT-COMM2-202629-54,29.94
2026-06-19,EFT-SELF-202625-44,-1.4
2026-07-25,EFT-SELF-202630-93,-1.86
2026-07-14,EFT-COMM1-202629-14,7.02
2026-08-17,EFT-COMM2-202634-57,5.95
2026-07-23,EFT-COMM1-202630-74,41.57
2026-07-29,EFT-SELF-202631-60,-2.11
2026-08-07,EFT-COMM1-202632-79,7.02
2026-08-25,EFT-MCR-202635-24,5.89
2026-07-26,EFT-MCR-202630-32,11.27
2026-07-12,EFT-MCR-202628-55,8.43
2026-08-01,EFT-MCD-202631-20,5.69
2026-08-01,EFT-COMM1-202631-32,21.39
2026-07-31,EFT-MCR-202631-64,6.18
2026-08-16,EFT-MCR-202633-86,5.89
2026-08-24,EFT-COMM2-202635-75,18.42
2026-07-24,EFT-MCD-202630-72,4.2
2026-07-25,EFT-COMM2-202630-41,6.84
2026-08-08,EFT-COMM2-202632-62,9.33
2023-07-05,SWEEP-202307,-10420.78
2023-07-09,BANKFEE-202307,-131.1
2023-07-16,INTEREST-202307,42.38
2023-10-25,SWEEP-202310,-7015.49
2023-10-23,BANKFEE-202310,-93.98
2023-10-22,INTEREST-202310,24.77
2024-01-10,SWEEP-202401,-15754.01
2024-01-04,BANKFEE-202401,-157.31
2024-01-14,INTEREST-202401,29.12
2024-04-02,SWEEP-202404,-13493.76
2024-04-14,BANKFEE-202404,-75.41
2024-04-15,INTEREST-202404,7.35
2024-07-02,SWEEP-202407,-7870.25
2024-07-04,BANKFEE-202407,-73.1
2024-07-06,INTEREST-202407,50.04
2024-10-03,SWEEP-202410,-7413.94
2024-10-25,BANKFEE-202410,-153.24
2024-10-23,INTEREST-202410,55.29
2025-01-12,SWEEP-202501,-8157.61
2025-01-02,BANKFEE-202501,-51.12
2025-01-10,INTEREST-202501,18.04
2025-04-02,SWEEP-202504,-10453.9
2025-04-04,BANKFEE-202504,-116.64
2025-04-09,INTEREST-202504,55.4
2025-07-02,SWEEP-202507,-16191.61
2025-07-02,BANKFEE-202507,-173.93
2025-07-26,INTEREST-202507,34.53
2025-10-23,SWEEP-202510,-18073.71
2025-10-26,BANKFEE-202510,-84.96
2025-10-23,INTEREST-202510,19.43
2026-01-08,SWEEP-202601,-8364.92
2026-01-26,BANKFEE-202601,-213.89
2026-01-27,INTEREST-202601,11.7
2026-04-16,SWEEP-202604,-5471.63
2026-04-02,BANKFEE-202604,-197.72
2026-04-10,INTEREST-202604,59.37
